timestamp,cell_id,voltage,current,power
2025-06-19T03:42:22.119043,cell_3,0.868,0.6,0.206
2025-06-19T03:42:52.412317,cell_1,0.832,223.0,0.184
2025-06-19T03:42:52.429277,cell_2,0.86,218.5,0.18
2025-06-19T03:42:52.444941,cell_3,0.844,290.8,0.242
2025-06-19T03:43:27.251191,cell_1,0.804,219.1,0.184
2025-06-19T03:43:27.267129,cell_2,0.808,219.2,0.186
2025-06-19T03:43:27.282211,cell_3,0.772,301.4,0.252
2025-06-19T03:43:57.580432,cell_1,0.816,226.2,0.186
2025-06-19T03:43:57.596504,cell_2,0.828,230.2,0.186
2025-06-19T03:43:57.612539,cell_3,0.816,301.7,0.25
2025-06-19T03:44:27.898939,cell_1,0.82,225.5,0.2
2025-06-19T03:44:27.913865,cell_2,0.836,248.9,0.196
2025-06-19T03:44:27.929281,cell_3,0.856,306.8,0.266
2025-06-19T03:44:58.215752,cell_1,0.908,0.2,0.0
2025-06-19T03:44:58.231485,cell_2,0.932,0.4,0.0
2025-06-19T03:44:58.248968,cell_3,0.912,0.8,0.0
2025-06-19T03:45:28.538952,cell_1,0.876,0.4,0.0
2025-06-19T03:45:28.554513,cell_2,0.828,0.6,0.0
2025-06-19T03:45:28.569640,cell_3,0.824,1.0,0.0
2025-06-19T03:45:58.854363,cell_1,0.812,242.2,0.2
2025-06-19T03:45:58.875205,cell_2,0.84,0.6,0.0
2025-06-19T03:45:58.890223,cell_3,0.852,275.5,0.052
2025-06-19T03:46:29.185840,cell_1,0.84,220.7,0.0
2025-06-19T03:46:29.201309,cell_2,0.844,223.1,0.176
2025-06-19T03:46:29.216874,cell_3,0.828,292.7,0.232
2025-06-19T03:46:59.505549,cell_1,0.896,238.8,0.2
2025-06-19T03:46:59.530022,cell_2,0.892,0.7,0.0
2025-06-19T03:46:59.546908,cell_3,0.82,0.6,0.0
2025-06-19T03:47:29.836014,cell_1,0.884,0.6,0.0
2025-06-19T03:47:29.850651,cell_2,0.876,0.5,0.0
2025-06-19T03:47:29.871220,cell_3,0.88,355.9,0.282
2025-06-19T03:48:00.161203,cell_1,0.836,247.4,0.212
2025-06-19T03:48:00.176783,cell_2,0.872,280.0,0.22
2025-06-19T03:48:00.192056,cell_3,0.888,367.6,0.304
2025-06-19T03:48:30.486936,cell_1,0.88,0.4,0.0
2025-06-19T03:48:30.503932,cell_2,0.872,0.4,0.0
2025-06-19T03:48:30.519834,cell_3,0.86,0.9,0.0
2025-06-19T03:49:00.808240,cell_1,0.82,260.7,0.206
2025-06-19T03:49:00.826695,cell_2,0.86,238.3,0.196
2025-06-19T03:49:00.842806,cell_3,0.844,303.5,0.256
2025-06-19T03:49:31.130505,cell_1,0.88,0.7,0.0
2025-06-19T03:49:31.145121,cell_2,0.86,30.6,0.0
2025-06-19T03:49:31.165203,cell_3,0.816,0.9,0.0
2025-06-19T03:50:01.454488,cell_1,0.828,217.7,0.19
2025-06-19T03:50:01.469797,cell_2,0.832,231.3,0.204
2025-06-19T03:50:01.491787,cell_3,0.864,0.8,0.0
2025-06-19T03:50:31.778394,cell_1,0.792,213.3,0.072
2025-06-19T03:50:31.800856,cell_2,0.856,0.6,0.0
2025-06-19T03:50:31.816961,cell_3,0.848,0.9,0.0
2025-06-19T03:51:02.103289,cell_1,0.872,271.2,0.206
2025-06-19T03:51:02.117129,cell_2,0.896,0.7,0.0
2025-06-19T03:51:02.133020,cell_3,0.876,0.5,0.0
2025-06-19T03:51:32.423230,cell_1,0.82,199.7,0.164
2025-06-19T03:51:32.441859,cell_2,0.836,246.5,0.2
2025-06-19T03:51:32.456445,cell_3,0.816,0.9,0.302
2025-06-19T03:52:02.746605,cell_1,0.888,0.5,0.0
2025-06-19T03:52:02.762393,cell_2,0.884,0.6,0.0
2025-06-19T03:52:02.778538,cell_3,0.876,0.9,0.0
2025-06-19T03:52:33.070153,cell_1,0.872,0.2,0.0
2025-06-19T03:52:33.085717,cell_2,0.908,0.4,0.0
